data_year,period,period_label,metric,dim_value_canon,scope,unit,from_report_id,from_value,to_report_id,to_value,delta,delta_pct,is_latest_step,n_vintages
2018,FY,2018,funding_by_vertical_count,ecommerce,all,count,2018,7.0,2023,8.0,1,14.29,TRUE,2
2022,FY,2022,funding_by_vertical_count,deeptech,all,count,2023,21.0,2025,24.0,3,14.29,FALSE,3
2023,FY,2023,funding_by_vertical_count,biotech,all,count,2024,7.0,2025,8.0,1,14.29,FALSE,3
2022,FY,2022,funding_by_vertical_count,artificial_intelligence,all,count,2024,38.0,2025,43.0,5,13.16,FALSE,5
2022,FY,2022,funding_by_vertical_count,gaming,all,count,2022,24.0,2023,27.0,3,12.50,FALSE,5
2019,FY,2019,funding_by_vertical_count,fintech,all,count,2019,17.0,2023,19.0,2,11.76,FALSE,3
2023,FY,2023,funding_by_vertical_count,healthtech,all,count,2023,17.0,2024,19.0,2,11.76,FALSE,4
2021,FY,2021,funding_by_vertical_count,artificial_intelligence,all,count,2021,35.0,2023,39.0,4,11.43,FALSE,5
2021,FY,2021,funding_by_vertical_size,artificial_intelligence,all,usd,2025,25700000.0,2026q1,28600000.0,2.9e+06,11.28,FALSE,6
2019,FY,2019,funding_by_vertical_size,artificial_intelligence,all,usd,2023,5400000.0,2024,4800000.0,-600000,-11.11,TRUE,3
2020,FY,2020,funding_by_vertical_count,gaming,all,count,2023,18.0,2024,20.0,2,11.11,FALSE,4
2023,FY,2023,funding_by_vertical_count,deeptech,all,count,2023,18.0,2025,20.0,2,11.11,FALSE,3
2020,FY,2020,funding_by_vertical_size,artificial_intelligence,all,usd,2020,39000000.0,2023,43300000.0,4.3e+06,11.03,FALSE,4
2025,FY,2025,funding_by_vertical_size,artificial_intelligence,all,usd,2025,36400000.0,2026q1,40300000.0,3.9e+06,10.71,FALSE,3
2023,FY,2023,funding_by_vertical_size,marketingtech,all,usd,2026q1,4700000.0,2026q2,5200000.0,500000,10.64,TRUE,4
2023,FY,2023,funding_by_vertical_size,artificial_intelligence,all,usd,2024,39300000.0,2025,43400000.0,4.1e+06,10.43,FALSE,5
2021,FY,2021,funding_by_vertical_size,saas,all,usd,2023,9700000.0,2024,10700000.0,1e+06,10.31,FALSE,5
2023,FY,2023,funding_by_vertical_count,artificial_intelligence,all,count,2024,59.0,2025,65.0,6,10.17,FALSE,4
2023,FY,2023,funding_by_vertical_size,fintech,all,usd,2023,27900000.0,2024,30700000.0,2.8e+06,10.04,FALSE,5
2024,FY,2024,funding_by_vertical_count,fintech,all,count,2024,30.0,2025,33.0,3,10.00,FALSE,3
2019,FY,2019,funding_by_vertical_count,deeptech,all,count,2019,11.0,2023,12.0,1,9.09,TRUE,2
